2025-09-01 17:36:38,504 | INFO | Старт бота. DRY_RUN=True, PNL_DIFF_USD=40.00
2025-09-01 17:36:38,505 | INFO | База данных/логов: C:\Users\User\Projects\cbbot-chunk-closer\data
2025-09-01 17:36:38,508 | INFO | Запуск цикла опроса каждые 60 сек.
2025-09-01 17:36:39,102 | INFO | Баланс (USDT): total=920.24197039, available=920.05793613
2025-09-01 17:36:39,395 | INFO | Открытых позиций нет.
2025-09-01 17:36:39,396 | INFO | Для чанков нужно >1 открытая позиция.
2025-09-01 17:37:38,795 | INFO | Баланс (USDT): total=920.24197039, available=920.05793839
2025-09-01 17:37:39,094 | INFO | Открытых позиций нет.
2025-09-01 17:37:39,094 | INFO | Для чанков нужно >1 открытая позиция.
2025-09-01 17:37:57,487 | INFO | Остановка по сигналу...
2025-09-01 17:38:01,665 | INFO | Остановка по сигналу...
2025-09-01 17:38:05,950 | INFO | Остановка по сигналу...
2025-09-01 17:38:06,242 | INFO | Остановка по сигналу...
2025-09-01 17:38:06,448 | INFO | Остановка по сигналу...
2025-09-01 17:38:19,012 | INFO | Остановка по сигналу...
2025-09-01 17:41:39,651 | INFO | Старт бота. DRY_RUN=True, PNL_DIFF_USD=40.00
2025-09-01 17:41:39,652 | INFO | База данных/логов: C:\Users\User\Projects\cbbot-chunk-closer\data
2025-09-01 17:41:39,652 | INFO | Запуск цикла опроса каждые 60 сек.
2025-09-01 17:41:40,246 | INFO | Баланс (USDT): total=920.24197039, available=920.05793594
2025-09-01 17:41:40,536 | INFO | Открытых позиций нет.
2025-09-01 17:41:40,536 | INFO | Для чанков нужно >1 открытая позиция.
2025-09-01 17:41:43,089 | INFO | Остановка по сигналу...
2025-09-01 17:41:44,220 | INFO | Остановка по сигналу...
